epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,2090.02,1.27698,0.73955,1.16523,0.87875,0.74034,0.84026,0.43493,1.77792,0.99621,1.50901,0.003169,0.003169,0.003169
71,2124.44,1.27379,0.73609,1.15712,0.85716,0.75627,0.80288,0.42323,1.83581,0.99334,1.56249,0.00307,0.00307,0.00307
72,2157.25,1.26625,0.72879,1.1571,0.82917,0.78315,0.83082,0.42438,1.81486,0.96819,1.53967,0.002971,0.002971,0.002971
73,2190.11,1.25884,0.72194,1.15183,0.83635,0.76019,0.82529,0.43677,1.75354,0.97402,1.51739,0.002872,0.002872,0.002872
74,2222.86,1.21999,0.69695,1.11969,0.84822,0.75986,0.82143,0.42485,1.80232,0.99468,1.54317,0.002773,0.002773,0.002773
75,2255.76,1.23311,0.70165,1.14529,0.87013,0.77419,0.84134,0.45055,1.69455,0.91844,1.4863,0.002674,0.002674,0.002674
76,2288.89,1.23129,0.70246,1.13295,0.84587,0.80466,0.85847,0.45372,1.73229,0.92005,1.54356,0.002575,0.002575,0.002575
77,2323.28,1.23597,0.70254,1.13493,0.79974,0.75627,0.81192,0.42695,1.78974,0.99288,1.54045,0.002476,0.002476,0.002476
78,2356.01,1.21928,0.68236,1.13658,0.91707,0.75313,0.85376,0.44851,1.78501,0.91183,1.53329,0.002377,0.002377,0.002377
79,2388.57,1.18128,0.66041,1.12366,0.80886,0.78112,0.80399,0.42961,1.81323,0.95523,1.55949,0.002278,0.002278,0.002278
80,2421.02,1.1878,0.66301,1.12099,0.78767,0.77119,0.80586,0.43621,1.79737,0.9866,1.55599,0.002179,0.002179,0.002179
81,2453.36,1.16108,0.64368,1.10624,0.88542,0.7509,0.83589,0.44494,1.78832,0.96534,1.54623,0.00208,0.00208,0.00208
82,2487.45,1.18377,0.66035,1.11097,0.88491,0.78545,0.84973,0.44752,1.75829,0.91779,1.51376,0.001981,0.001981,0.001981
83,2520.87,1.15365,0.66065,1.09264,0.90166,0.78872,0.85772,0.45845,1.7398,0.90437,1.53162,0.001882,0.001882,0.001882
84,2553.53,1.14067,0.63709,1.10324,0.86366,0.76523,0.84227,0.45035,1.80563,0.91339,1.57149,0.001783,0.001783,0.001783
85,2586.23,1.14619,0.63496,1.09698,0.88441,0.79532,0.85819,0.45827,1.76644,0.88043,1.55382,0.001684,0.001684,0.001684
86,2619.1,1.14531,0.6369,1.09702,0.8198,0.79084,0.80468,0.42036,1.79836,0.94961,1.56173,0.001585,0.001585,0.001585
87,2651.6,1.1324,0.63027,1.09122,0.84209,0.76523,0.81567,0.42257,1.86266,1.00723,1.59666,0.001486,0.001486,0.001486
88,2686.09,1.11406,0.61149,1.06817,0.84412,0.79928,0.84308,0.45407,1.76356,0.89218,1.54387,0.001387,0.001387,0.001387
89,2718.78,1.09917,0.60636,1.077,0.8622,0.73477,0.8262,0.43814,1.75897,0.91046,1.55646,0.001288,0.001288,0.001288
90,2751.66,1.12218,0.62569,1.0861,0.8757,0.78495,0.85158,0.45314,1.77007,0.88698,1.57091,0.001189,0.001189,0.001189
91,2784.98,1.11633,0.61826,1.11484,0.87032,0.79211,0.84691,0.44806,1.77227,0.90562,1.56844,0.00109,0.00109,0.00109
92,2817.86,1.0686,0.57904,1.10425,0.87762,0.77957,0.83735,0.44804,1.74641,0.91336,1.55124,0.000991,0.000991,0.000991
93,2850.47,1.09699,0.59681,1.11662,0.86181,0.79352,0.84174,0.45133,1.75001,0.91293,1.5554,0.000892,0.000892,0.000892
94,2885,1.05563,0.56807,1.09339,0.86342,0.79306,0.83916,0.44835,1.77607,0.91125,1.57122,0.000793,0.000793,0.000793
95,2918.03,1.04389,0.55657,1.08592,0.84384,0.76165,0.81237,0.44317,1.78669,0.93216,1.56452,0.000694,0.000694,0.000694
96,2951.02,1.06003,0.58072,1.10141,0.86628,0.78495,0.82753,0.44893,1.75802,0.87417,1.57072,0.000595,0.000595,0.000595
97,2983.94,1.03421,0.55953,1.08691,0.83863,0.77599,0.83526,0.44491,1.78628,0.90771,1.58878,0.000496,0.000496,0.000496
98,3016.67,1.01957,0.55572,1.07413,0.88386,0.78136,0.84245,0.45507,1.74948,0.8844,1.55,0.000397,0.000397,0.000397
99,3049.46,1.02017,0.55329,1.08091,0.87904,0.78315,0.84768,0.45174,1.75389,0.87133,1.57954,0.000298,0.000298,0.000298
100,3084.06,0.98571,0.53587,1.06841,0.89994,0.77369,0.85125,0.45173,1.76047,0.88748,1.57802,0.000199,0.000199,0.000199
