image_pair,ssim
train_video_007_frame_001442.jpg vs train_video_007_frame_001458.jpg,0.638672706646275
train_video_007_frame_001458.jpg vs train_video_008_frame_000000.jpg,0.31291677965370807
train_video_008_frame_000000.jpg vs train_video_008_frame_000114.jpg,0.2550851988000491
train_video_008_frame_000114.jpg vs train_video_008_frame_000200.jpg,0.2671867759474696
train_video_008_frame_000200.jpg vs train_video_008_frame_000306.jpg,0.20829547737013415
train_video_008_frame_000306.jpg vs train_video_008_frame_000390.jpg,0.2297991207997622
train_video_008_frame_000390.jpg vs train_video_008_frame_000483.jpg,0.19785868322395397
train_video_008_frame_000483.jpg vs train_video_008_frame_000569.jpg,0.18727222306073063
train_video_008_frame_000569.jpg vs train_video_008_frame_000630.jpg,0.18925278439333493
train_video_008_frame_000630.jpg vs train_video_008_frame_000684.jpg,0.2232816046753391
train_video_008_frame_000684.jpg vs train_video_008_frame_000737.jpg,0.22112175522358754
train_video_008_frame_000737.jpg vs train_video_008_frame_000821.jpg,0.17844415256327112
train_video_008_frame_000821.jpg vs train_video_008_frame_000895.jpg,0.14357797004161513
train_video_008_frame_000895.jpg vs train_video_008_frame_001098.jpg,0.13363964962534458
train_video_008_frame_001098.jpg vs train_video_008_frame_001404.jpg,0.1719004539511467
train_video_008_frame_001404.jpg vs train_video_009_frame_000000.jpg,0.2608082851811403
train_video_009_frame_000000.jpg vs train_video_009_frame_000379.jpg,0.6315518609030488
train_video_009_frame_000379.jpg vs train_video_009_frame_000562.jpg,0.6911649842501901
train_video_009_frame_000562.jpg vs train_video_009_frame_000899.jpg,0.6217374631804208
train_video_009_frame_000899.jpg vs train_video_009_frame_001264.jpg,0.6023835266583635
train_video_009_frame_001264.jpg vs train_video_009_frame_001440.jpg,0.5825234145363074
train_video_009_frame_001440.jpg vs train_video_009_frame_001673.jpg,0.6078767105772446
train_video_009_frame_001673.jpg vs train_video_009_frame_002072.jpg,0.6252266202265184
train_video_009_frame_002072.jpg vs train_video_009_frame_002718.jpg,0.6022807796626539
train_video_009_frame_002718.jpg vs train_video_009_frame_002898.jpg,0.6508033164698153
train_video_009_frame_002898.jpg vs train_video_010_frame_000292.jpg,0.5219762857419955
train_video_010_frame_000292.jpg vs train_video_010_frame_000680.jpg,0.6295683218417405
train_video_010_frame_000680.jpg vs train_video_010_frame_000802.jpg,0.6630923438825522
train_video_010_frame_000802.jpg vs train_video_010_frame_001047.jpg,0.6925471250248715
train_video_010_frame_001047.jpg vs train_video_010_frame_001272.jpg,0.7077894677700179
train_video_010_frame_001272.jpg vs train_video_010_frame_002390.jpg,0.6406738145791522
train_video_010_frame_002390.jpg vs train_video_010_frame_002842.jpg,0.6975700606901132
train_video_010_frame_002842.jpg vs train_video_010_frame_003062.jpg,0.713374750896978
train_video_010_frame_003062.jpg vs train_video_010_frame_003420.jpg,0.696344643256773
train_video_010_frame_003420.jpg vs train_video_010_frame_003804.jpg,0.727989358251786
train_video_010_frame_003804.jpg vs train_video_010_frame_003986.jpg,0.7032952805187643
train_video_010_frame_003986.jpg vs train_video_011_frame_000006.jpg,0.6631474896190326
train_video_011_frame_000006.jpg vs train_video_011_frame_000170.jpg,0.7370941570845765
train_video_011_frame_000170.jpg vs train_video_011_frame_000445.jpg,0.6634143139715796
train_video_011_frame_000445.jpg vs train_video_011_frame_000888.jpg,0.5350405382179602
train_video_011_frame_000888.jpg vs train_video_011_frame_001186.jpg,0.5364367395370241
train_video_011_frame_001186.jpg vs train_video_011_frame_001317.jpg,0.56628924964071
train_video_011_frame_001317.jpg vs train_video_011_frame_001642.jpg,0.504663715105487
train_video_011_frame_001642.jpg vs train_video_011_frame_001772.jpg,0.5464490735009376
train_video_011_frame_001772.jpg vs train_video_011_frame_001917.jpg,0.49127196242058196
train_video_011_frame_001917.jpg vs train_video_011_frame_002083.jpg,0.4971582585004935
train_video_011_frame_002083.jpg vs train_video_011_frame_002687.jpg,0.40160335317571555
train_video_011_frame_002687.jpg vs train_video_011_frame_002909.jpg,0.4610140322246735
train_video_011_frame_002909.jpg vs train_video_011_frame_003339.jpg,0.44579653451632434
train_video_011_frame_003339.jpg vs train_video_011_frame_003763.jpg,0.5471421845631729
train_video_011_frame_003763.jpg vs train_video_011_frame_004321.jpg,0.6433104619590633
train_video_011_frame_004321.jpg vs train_video_011_frame_004443.jpg,0.7774903346101428
train_video_011_frame_004443.jpg vs train_video_011_frame_004649.jpg,0.7709307358576217
train_video_011_frame_004649.jpg vs train_video_011_frame_004915.jpg,0.6764364499290957
train_video_011_frame_004915.jpg vs train_video_011_frame_005003.jpg,0.696317570733971
train_video_011_frame_005003.jpg vs train_video_011_frame_005152.jpg,0.6837193817064343
train_video_011_frame_005152.jpg vs train_video_011_frame_005476.jpg,0.6648809217468955
train_video_011_frame_005476.jpg vs train_video_011_frame_005810.jpg,0.6709684455570999
train_video_011_frame_005810.jpg vs train_video_012_frame_000167.jpg,0.5968791221140368
train_video_012_frame_000167.jpg vs train_video_012_frame_000241.jpg,0.5468033079654036
train_video_012_frame_000241.jpg vs train_video_012_frame_000660.jpg,0.4709807606240969
train_video_012_frame_000660.jpg vs train_video_012_frame_001484.jpg,0.40940188724866794
train_video_012_frame_001484.jpg vs train_video_012_frame_001665.jpg,0.3334953723468828
train_video_012_frame_001665.jpg vs train_video_012_frame_001737.jpg,0.3541088970140474
train_video_012_frame_001737.jpg vs train_video_012_frame_001840.jpg,0.3132971083659419
train_video_012_frame_001840.jpg vs train_video_012_frame_001921.jpg,0.3344978299841728
train_video_012_frame_001921.jpg vs train_video_012_frame_001998.jpg,0.3635246604147406
train_video_012_frame_001998.jpg vs train_video_012_frame_002035.jpg,0.41184664997930137
train_video_012_frame_002035.jpg vs train_video_012_frame_002073.jpg,0.38580637300155063
train_video_012_frame_002073.jpg vs train_video_012_frame_002158.jpg,0.31523973612074857
train_video_012_frame_002158.jpg vs train_video_012_frame_002204.jpg,0.2553382899351185
train_video_012_frame_002204.jpg vs train_video_012_frame_002261.jpg,0.23989722254531198
