epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,806.105,1.72441,1.06154,1.19206,0.83741,0.72043,0.82347,0.39996,1.79214,1.08158,1.27037,0.002674,0.002674,0.002674
76,821.576,1.65653,1.03036,1.17955,0.94039,0.67848,0.80805,0.41433,1.73727,1.06828,1.26327,0.002575,0.002575,0.002575
77,836.87,1.60154,1.00234,1.15499,0.79791,0.70968,0.7782,0.36953,1.75837,1.11605,1.23659,0.002476,0.002476,0.002476
78,849.69,1.71262,1.06621,1.16769,0.80264,0.78495,0.79068,0.39523,1.78612,1.01405,1.29734,0.002377,0.002377,0.002377
79,864.415,1.70098,1.06968,1.20375,0.77298,0.69567,0.79523,0.35669,1.81981,1.1136,1.28866,0.002278,0.002278,0.002278
80,880.055,1.69857,1.06704,1.17686,0.80251,0.65541,0.74367,0.37179,1.78413,1.07155,1.27209,0.002179,0.002179,0.002179
81,893.251,1.68653,1.03512,1.16024,0.83349,0.64589,0.73623,0.35551,1.91847,1.21728,1.31213,0.00208,0.00208,0.00208
82,908.048,1.72428,1.0884,1.18774,0.84384,0.65591,0.76905,0.36896,1.90614,1.05779,1.30711,0.001981,0.001981,0.001981
83,924.195,1.71879,1.05952,1.17916,0.85103,0.67575,0.76532,0.36473,1.87644,1.06978,1.29862,0.001882,0.001882,0.001882
84,939.455,1.63048,0.99627,1.15884,0.82002,0.64516,0.76589,0.37559,1.82591,1.11103,1.27876,0.001783,0.001783,0.001783
85,951.704,1.60831,0.94714,1.14727,0.75107,0.67742,0.76372,0.35693,1.90604,1.06361,1.28254,0.001684,0.001684,0.001684
86,967.197,1.59562,0.94352,1.14875,0.7736,0.77158,0.79318,0.40188,1.71341,0.99723,1.23983,0.001585,0.001585,0.001585
87,982.813,1.61677,0.97372,1.14267,0.79821,0.68817,0.75861,0.36735,1.79611,1.08881,1.27766,0.001486,0.001486,0.001486
88,995.301,1.61839,0.97066,1.13003,0.84518,0.66667,0.75611,0.3636,1.77638,1.06099,1.27897,0.001387,0.001387,0.001387
89,1011.73,1.60536,0.96358,1.13614,0.84876,0.67742,0.78216,0.36677,1.7927,1.03853,1.25871,0.001288,0.001288,0.001288
90,1027.06,1.57247,0.94363,1.13481,0.8567,0.67742,0.7739,0.37864,1.82566,1.0321,1.29433,0.001189,0.001189,0.001189
91,1042.34,1.60356,0.96435,1.20099,0.78973,0.68654,0.77442,0.38289,1.78511,1.04482,1.27113,0.00109,0.00109,0.00109
92,1056.76,1.5908,0.94148,1.1924,0.81175,0.72043,0.77572,0.39218,1.80297,1.04854,1.28755,0.000991,0.000991,0.000991
93,1071.81,1.55572,0.94245,1.19258,0.78762,0.74194,0.77608,0.38611,1.8044,1.03321,1.28515,0.000892,0.000892,0.000892
94,1086.91,1.5961,0.91174,1.16323,0.77828,0.75269,0.77408,0.40644,1.78921,0.97919,1.27821,0.000793,0.000793,0.000793
95,1099.74,1.54246,0.90473,1.18038,0.78802,0.72043,0.78512,0.3916,1.8117,1.02754,1.2852,0.000694,0.000694,0.000694
96,1115.43,1.51551,0.89495,1.13141,0.84908,0.69892,0.7984,0.41556,1.72007,0.99238,1.24494,0.000595,0.000595,0.000595
97,1131.4,1.49183,0.89598,1.14071,0.81673,0.72043,0.80115,0.40754,1.74114,0.97739,1.26524,0.000496,0.000496,0.000496
98,1145.97,1.51245,0.88605,1.15322,0.83543,0.73118,0.80587,0.40509,1.73657,0.96815,1.25968,0.000397,0.000397,0.000397
99,1158.59,1.48644,0.85395,1.14597,0.83217,0.73118,0.80495,0.40599,1.76723,0.95119,1.278,0.000298,0.000298,0.000298
100,1173.94,1.48364,0.84948,1.12712,0.83822,0.72427,0.80791,0.40425,1.80057,0.97193,1.29673,0.000199,0.000199,0.000199
